,@FREQ,@REF_AREA,@INDICATOR,@COUNTERPART_AREA,@UNIT_MULT,@TIME_FORMAT,Obs_0_@TIME_PERIOD,Obs_0_@OBS_VALUE,Obs_1_@TIME_PERIOD,Obs_1_@OBS_VALUE
131,A,TG,TXG_FOB_USD,W00,6,P1Y,2021,1079.792698,2022,2715.998013
132,A,BZ,TXG_FOB_USD,W00,6,P1Y,2021,218.501637,2022,232.044366
133,A,NZ,TXG_FOB_USD,W00,6,P1Y,2021,39574.133382,2022,46319.748469
134,A,UG,TXG_FOB_USD,W00,6,P1Y,2021,3953.611158,2022,3550.758994
135,A,BN,TXG_FOB_USD,W00,6,P1Y,2021,11051.924478,2022,14362.123292
136,A,PE,TXG_FOB_USD,W00,6,P1Y,2021,56236.8848,2022,66471.631148
137,A,ST,TXG_FOB_USD,W00,6,P1Y,2021,20.874447,2022,22.587972
138,A,NI,TXG_FOB_USD,W00,6,P1Y,2021,3513.117968,2022,3878.440278
139,A,PL,TXG_FOB_USD,W00,6,P1Y,2021,340633.516883,2022,360541.931833
140,A,AU,TXG_FOB_USD,W00,6,P1Y,2021,344138.637936,2022,412540.265911
141,A,YUC,TXG_FOB_USD,W00,6,P1Y,,,,
142,A,SA,TXG_FOB_USD,W00,6,P1Y,2021,278924.567991,2022,408348.70378
143,A,DK,TXG_FOB_USD,W00,6,P1Y,2021,125944.80608,2022,128861.557225
144,A,W00,TXG_FOB_USD,W00,6,P1Y,2021,22050195.261171,2022,24655529.674494
145,A,VN,TXG_FOB_USD,W00,6,P1Y,2021,330431.996952,2022,360341.121878
146,A,MT,TXG_FOB_USD,W00,6,P1Y,2021,3063.586579,2022,3207.059252
147,A,ID,TXG_FOB_USD,W00,6,P1Y,2021,231522.458148,2022,292305.268543
148,A,GD,TXG_FOB_USD,W00,6,P1Y,2021,16.657228,2022,17.787532
149,A,IL,TXG_FOB_USD,W00,6,P1Y,2021,59075,2022,72538.3
150,A,HT,TXG_FOB_USD,W00,6,P1Y,2021,1276.838056,2022,1204.616173
151,A,AW,TXG_FOB_USD,W00,6,P1Y,2021,87.492818,2022,103.841099
152,A,SI,TXG_FOB_USD,W00,6,P1Y,2021,57351.903433,2022,69700.974155
153,A,B0,TXG_FOB_USD,W00,6,P1Y,2021,6647148.171318,2022,7150111.746903
154,A,TD,TXG_FOB_USD,W00,6,P1Y,2021,2452.655301,2022,4193.722161
