,@FREQ,@REF_AREA,@INDICATOR,@COUNTERPART_AREA,@UNIT_MULT,@TIME_FORMAT,Obs_@TIME_PERIOD,Obs_@OBS_VALUE
133,M,SL,TXG_FOB_USD,W00,6,P1M,2023-01,53.666759
134,M,DZ,TXG_FOB_USD,W00,6,P1M,2023-01,4486.900466
135,M,SB,TXG_FOB_USD,W00,6,P1M,2023-01,36.535744
136,M,MW,TXG_FOB_USD,W00,6,P1M,2023-01,97.72314
137,M,AR,TXG_FOB_USD,W00,6,P1M,2023-01,6013.560659
138,M,JP,TXG_FOB_USD,W00,6,P1M,2023-01,50254.873424
139,M,US,TXG_FOB_USD,W00,6,P1M,2023-01,165436.912157
140,M,IQ,TXG_FOB_USD,W00,6,P1M,2023-01,8233.130396
141,M,NC,TXG_FOB_USD,W00,6,P1M,2023-01,90.293187
142,M,KG,TXG_FOB_USD,W00,6,P1M,2023-01,208.091648
143,M,EC,TXG_FOB_USD,W00,6,P1M,2023-01,3321.53091
144,M,A10,TXG_FOB_USD,W00,6,P1M,2023-01,103873.813071
145,M,KW,TXG_FOB_USD,W00,6,P1M,2023-01,6739.408301
146,M,BY,TXG_FOB_USD,W00,6,P1M,2023-01,2400.771247
147,M,BJ,TXG_FOB_USD,W00,6,P1M,2023-01,42.454363
148,M,GD,TXG_FOB_USD,W00,6,P1M,2023-01,1.003679
149,M,RS,TXG_FOB_USD,W00,6,P1M,2023-01,2345.616487
150,M,IR,TXG_FOB_USD,W00,6,P1M,2023-01,1237.113684
151,M,PH,TXG_FOB_USD,W00,6,P1M,2023-01,5395.692413
152,M,CH,TXG_FOB_USD,W00,6,P1M,2023-01,35422.678148
153,M,BH,TXG_FOB_USD,W00,6,P1M,2023-01,1468.672001
154,M,HR,TXG_FOB_USD,W00,6,P1M,2023-01,1787.039889
155,M,TM,TXG_FOB_USD,W00,6,P1M,2023-01,1048.844658
156,M,GB,TXG_FOB_USD,W00,6,P1M,2023-01,44326.91092
157,M,TO,TXG_FOB_USD,W00,6,P1M,2023-01,1.386664
158,M,UA,TXG_FOB_USD,W00,6,P1M,2023-01,3131.545281
159,M,1C_198,TXG_FOB_USD,W00,6,P1M,,
160,M,OM,TXG_FOB_USD,W00,6,P1M,2023-01,2045.081788
161,M,MU,TXG_FOB_USD,W00,6,P1M,2023-01,121.225643
162,M,CA,TXG_FOB_USD,W00,6,P1M,2023-01,47867.084847
163,M,NE,TXG_FOB_USD,W00,6,P1M,2023-01,27.934614
164,M,HN,TXG_FOB_USD,W00,6,P1M,2023-01,325.83319
165,M,DJ,TXG_FOB_USD,W00,6,P1M,2023-01,58.704101
166,M,KE,TXG_FOB_USD,W00,6,P1M,2023-01,698.945478
167,M,YE,TXG_FOB_USD,W00,6,P1M,2023-01,1.487784
168,M,BR,TXG_FOB_USD,W00,6,P1M,2023-01,22812.549761
169,M,EG,TXG_FOB_USD,W00,6,P1M,2023-01,3693.750675
170,M,VE,TXG_FOB_USD,W00,6,P1M,2023-01,457.200897
171,M,MA,TXG_FOB_USD,W00,6,P1M,2023-01,3868.286656
