,@FREQ,@REF_AREA,@INDICATOR,@COUNTERPART_AREA,@UNIT_MULT,@TIME_FORMAT,Obs_0_@TIME_PERIOD,Obs_0_@OBS_VALUE,Obs_1_@TIME_PERIOD,Obs_1_@OBS_VALUE,Obs_2_@TIME_PERIOD,Obs_2_@OBS_VALUE,Obs_@TIME_PERIOD,Obs_@OBS_VALUE
70,A,FR,TXG_FOB_USD,BR,6,P1Y,2020,3532.307398,2021,4053.206092,2022,4230.216523,,
71,A,FR,TXG_FOB_USD,ME,6,P1Y,2020,39.581459,2021,38.609287,2022,50.173143,,
72,A,FR,TXG_FOB_USD,VC,6,P1Y,2020,2.9523,2021,22.710719,2022,3.398784,,
73,A,FR,TXG_FOB_USD,RW,6,P1Y,2020,22.696363,2021,29.72096,2022,32.980259,,
74,A,FR,TXG_FOB_USD,S19,6,P1Y,2020,25.142162,2021,38.113812,2022,24.658763,,
75,A,FR,TXG_FOB_USD,MD,6,P1Y,2020,72.95853,2021,90.917354,2022,109.10106,,
76,A,FR,TXG_FOB_USD,KI,6,P1Y,2020,0.536507,2021,0.183355,2022,0.044871,,
77,A,FR,TXG_FOB_USD,E1,6,P1Y,2020,36972.475268,2021,45752.729043,2022,42803.743017,,
78,A,FR,TXG_FOB_USD,TZ,6,P1Y,2020,83.298726,2021,186.806346,2022,72.073613,,
79,A,FR,TXG_FOB_USD,AE,6,P1Y,2020,3744.307863,2021,4931.892302,2022,4671.068958,,
80,A,FR,TXG_FOB_USD,BO,6,P1Y,2020,32.191808,2021,37.469236,2022,41.132147,,
81,A,FR,TXG_FOB_USD,CV,6,P1Y,2020,20.908004,2021,22.529425,2022,11.292985,,
82,A,FR,TXG_FOB_USD,ES,6,P1Y,2020,35885.955833,2021,43946.876186,2022,46963.075792,,
83,A,FR,TXG_FOB_USD,VU,6,P1Y,2020,5.41417,2021,5.72205,2022,9.491966,,
84,A,FR,TXG_FOB_USD,NG,6,P1Y,2020,659.110873,2021,731.144299,2022,606.528206,,
85,A,FR,TXG_FOB_USD,JP,6,P1Y,2020,6528.810864,2021,7760.208149,2022,6703.909099,,
86,A,FR,TXG_FOB_USD,GI,6,P1Y,2020,188.496784,2021,304.536842,2022,459.234547,,
87,A,FR,TXG_FOB_USD,HN,6,P1Y,2020,17.431712,2021,35.545702,2022,33.274776,,
88,A,FR,TXG_FOB_USD,1C_440,6,P1Y,2020,28995.630523,2021,31319.832121,2022,31660.887042,,
89,A,FR,TXG_FOB_USD,EE,6,P1Y,2020,345.609765,2021,529.45921,2022,481.800562,,
90,A,FR,TXG_FOB_USD,CA,6,P1Y,2020,3581.214115,2021,4061.564775,2022,4302.726443,,
91,A,FR,TXG_FOB_USD,DE2,6,P1Y,,,,,,,,
92,A,FR,TXG_FOB_USD,GU,6,P1Y,2020,4.146731,2021,3.977446,2022,8.494484,,
93,A,FR,TXG_FOB_USD,SN,6,P1Y,2020,918.269161,2021,964.691251,2022,982.136301,,
94,A,FR,TXG_FOB_USD,B0,6,P1Y,2020,261326.693238,2021,319347.661916,2022,343041.005955,,
95,A,FR,TXG_FOB_USD,BB,6,P1Y,2020,15.198458,2021,12.365081,2022,18.508873,,
96,A,FR,TXG_FOB_USD,SA,6,P1Y,2020,3544.087875,2021,3996.661437,2022,4058.614168,,
97,A,FR,TXG_FOB_USD,TJ,6,P1Y,2020,4.702441,2021,10.584494,2022,9.603207,,
98,A,FR,TXG_FOB_USD,MM,6,P1Y,2020,63.180323,2021,47.474965,2022,54.497509,,
99,A,FR,TXG_FOB_USD,DO,6,P1Y,2020,114.354768,2021,192.233269,2022,227.189013,,
100,A,FR,TXG_FOB_USD,DK,6,P1Y,2020,3422.666897,2021,4206.737982,2022,4227.504913,,
101,A,FR,TXG_FOB_USD,SR,6,P1Y,2020,23.388466,2021,19.115187,2022,17.028362,,
102,A,FR,TXG_FOB_USD,LB,6,P1Y,2020,438.863989,2021,369.030076,2022,406.707869,,
103,A,FR,TXG_FOB_USD,TT,6,P1Y,2020,38.259593,2021,48.902108,2022,38.754613,,
104,A,FR,TXG_FOB_USD,PK,6,P1Y,2020,421.082979,2021,538.771694,2022,510.06511,,
105,A,FR,TXG_FOB_USD,BT,6,P1Y,2020,77.000958,2021,0.72464,2022,0.550521,,
106,A,FR,TXG_FOB_USD,A109,6,P1Y,2020,111.964573,2021,135.788893,2022,138.197043,,
107,A,FR,TXG_FOB_USD,NI,6,P1Y,2020,9.592782,2021,10.5944,2022,12.899129,,
108,A,FR,TXG_FOB_USD,MG,6,P1Y,2020,357.92656,2021,411.398871,2022,436.579681,,
109,A,FR,TXG_FOB_USD,HT,6,P1Y,2020,51.857779,2021,49.518859,2022,36.200204,,
110,A,FR,TXG_FOB_USD,NO,6,P1Y,2020,1978.369219,2021,1820.156357,2022,1862.801567,,
111,A,FR,TXG_FOB_USD,MW,6,P1Y,2020,13.129196,2021,4.887962,2022,5.245299,,
112,A,FR,TXG_FOB_USD,PT,6,P1Y,2020,5537.764614,2021,6416.422592,2022,6989.673025,,
113,A,FR,TXG_FOB_USD,SB,6,P1Y,2020,0.215134,2021,0.398042,2022,0.571321,,
114,A,FR,TXG_FOB_USD,DZ,6,P1Y,2020,4862.943557,2021,4451.661247,2022,4693.590543,,
115,A,FR,TXG_FOB_USD,AZ,6,P1Y,2020,128.074376,2021,125.841143,2022,303.290364,,
116,A,FR,TXG_FOB_USD,SI,6,P1Y,2020,1216.691957,2021,1474.598892,2022,1466.475204,,
117,A,FR,TXG_FOB_USD,TH,6,P1Y,2020,1228.986348,2021,1783.912888,2022,1502.593599,,
118,A,FR,TXG_FOB_USD,TG,6,P1Y,2020,211.411456,2021,240.816713,2022,227.67919,,
119,A,FR,TXG_FOB_USD,MK,6,P1Y,2020,99.109419,2021,104.924323,2022,99.17658,,
120,A,FR,TXG_FOB_USD,_X,6,P1Y,2020,666.499121,2021,1478.948343,2022,1857.060418,,
121,A,FR,TXG_FOB_USD,E19,6,P1Y,2020,193.185927,2021,249.480751,2022,289.733303,,
122,A,FR,TXG_FOB_USD,SUH,6,P1Y,,,,,,,,
123,A,FR,TXG_FOB_USD,UA,6,P1Y,2020,1155.508298,2021,1426.932429,2022,843.653176,,
124,A,FR,TXG_FOB_USD,IE,6,P1Y,2020,3845.497744,2021,5339.414671,2022,6911.296506,,
125,A,FR,TXG_FOB_USD,TW,6,P1Y,2020,1992.936763,2021,2231.341652,2022,3025.293976,,
126,A,FR,TXG_FOB_USD,NA,6,P1Y,2020,16.208929,2021,23.058359,2022,20.82706,,
127,A,FR,TXG_FOB_USD,CI,6,P1Y,2020,1290.326823,2021,1635.900052,2022,1471.966237,,
128,A,FR,TXG_FOB_USD,AO,6,P1Y,2020,223.402774,2021,287.162525,2022,264.328364,,
129,A,FR,TXG_FOB_USD,IR,6,P1Y,2020,291.23866,2021,264.692917,2022,327.845636,,
130,A,FR,TXG_FOB_USD,LV,6,P1Y,2020,370.188023,2021,486.219139,2022,555.827823,,
131,A,FR,TXG_FOB_USD,TD,6,P1Y,2020,101.147798,2021,83.197023,2022,82.716898,,
132,A,FR,TXG_FOB_USD,SY,6,P1Y,2020,27.702055,2021,26.972963,2022,24.85204,,
133,A,FR,TXG_FOB_USD,VN,6,P1Y,2020,1102.863557,2021,1469.719259,2022,1221.29888,,
134,A,FR,TXG_FOB_USD,CN,6,P1Y,2020,20137.183769,2021,28435.713994,2022,24902.592986,,
135,A,FR,TXG_FOB_USD,BF,6,P1Y,2020,367.823862,2021,355.846505,2022,373.314514,,
136,A,FR,TXG_FOB_USD,UZ,6,P1Y,2020,309.568793,2021,243.252338,2022,247.542363,,
137,A,FR,TXG_FOB_USD,YUC,6,P1Y,,,,,,,,
138,A,FR,TXG_FOB_USD,HU,6,P1Y,2020,4332.187517,2021,4581.56808,2022,4635.009396,,
139,A,FR,TXG_FOB_USD,GN,6,P1Y,2020,170.984528,2021,176.806755,2022,169.8099,,
140,A,FR,TXG_FOB_USD,MY,6,P1Y,2020,895.73494,2021,894.578598,2022,1329.505181,,
141,A,FR,TXG_FOB_USD,IS,6,P1Y,2020,106.794534,2021,102.44152,2022,316.94196,,
142,A,FR,TXG_FOB_USD,AG,6,P1Y,2020,9.959119,2021,6.230832,2022,7.114938,,
143,A,FR,TXG_FOB_USD,PY,6,P1Y,2020,57.094615,2021,66.324289,2022,77.768233,,
144,A,FR,TXG_FOB_USD,CM,6,P1Y,2020,591.911167,2021,634.455615,2022,657.462847,,
145,A,FR,TXG_FOB_USD,XK,6,P1Y,2020,27.208678,2021,60.848183,2022,76.120255,,
146,A,FR,TXG_FOB_USD,SD,6,P1Y,2020,75.931731,2021,58.702214,2022,54.482098,,
147,A,FR,TXG_FOB_USD,LC,6,P1Y,2020,6.831734,2021,11.456246,2022,11.76567,,
148,A,FR,TXG_FOB_USD,TO,6,P1Y,2020,3.707418,2021,0.109698,2022,0.157892,,
149,A,FR,TXG_FOB_USD,BY,6,P1Y,2020,171.295079,2021,216.968584,2022,150.341645,,
150,A,FR,TXG_FOB_USD,LT,6,P1Y,2020,765.689157,2021,1009.492773,2022,1144.021594,,
151,A,FR,TXG_FOB_USD,CZ,6,P1Y,2020,4884.169704,2021,5949.05304,2022,6225.674981,,
152,A,FR,TXG_FOB_USD,TN,6,P1Y,2020,2955.293329,2021,3650.836325,2022,3968.332524,,
153,A,FR,TXG_FOB_USD,XR99,6,P1Y,2020,1213.936449,2021,1642.390531,2022,9893.382847,,
154,A,FR,TXG_FOB_USD,UY,6,P1Y,2020,167.827092,2021,225.808741,2022,243.421463,,
155,A,FR,TXG_FOB_USD,A10,6,P1Y,2020,10432.24838,2021,13566.171866,2022,13815.079898,,
156,A,FR,TXG_FOB_USD,GM,6,P1Y,2020,20.077274,2021,22.388439,2022,12.022837,,
157,A,FR,TXG_FOB_USD,DJ,6,P1Y,2020,83.480298,2021,82.833301,2022,88.065909,,
158,A,FR,TXG_FOB_USD,F97,6,P1Y,2020,15580.140127,2021,16794.035392,2022,15421.959518,,
159,A,FR,TXG_FOB_USD,MZ,6,P1Y,2020,24.824141,2021,129.477127,2022,46.305333,,
160,A,FR,TXG_FOB_USD,LY,6,P1Y,2020,172.153213,2021,207.745732,2022,229.562869,,
161,A,FR,TXG_FOB_USD,EG,6,P1Y,2020,2388.698709,2021,2375.682427,2022,2386.864175,,
162,A,FR,TXG_FOB_USD,1C_092,6,P1Y,2020,95879.574685,2021,121532.635234,2022,116556.572703,,
163,A,FR,TXG_FOB_USD,NL,6,P1Y,2020,18485.053869,2021,23675.447557,2022,25757.38206,,
164,A,FR,TXG_FOB_USD,IL,6,P1Y,2020,1589.086123,2021,1989.164847,2022,2192.405878,,
165,A,FR,TXG_FOB_USD,PG,6,P1Y,2020,3.087676,2021,3.126282,2022,5.001121,,
166,A,FR,TXG_FOB_USD,IN,6,P1Y,2020,6562.106682,2021,9726.839785,2022,6199.381797,,
167,A,FR,TXG_FOB_USD,LU,6,P1Y,2020,2376.305893,2021,3390.756382,2022,3378.658252,,
168,A,FR,TXG_FOB_USD,HR,6,P1Y,2020,601.643802,2021,752.901514,2022,873.685882,,
169,A,FR,TXG_FOB_USD,VE,6,P1Y,2020,19.261818,2021,24.54703,2022,40.008527,,
170,A,FR,TXG_FOB_USD,1C_473,6,P1Y,,,,,,,,
171,A,FR,TXG_FOB_USD,GW,6,P1Y,2020,4.385768,2021,4.545773,2022,4.859048,,
172,A,FR,TXG_FOB_USD,ET,6,P1Y,2020,536.989268,2021,464.641386,2022,325.855018,,
173,A,FR,TXG_FOB_USD,BG,6,P1Y,2020,975.018993,2021,1198.583687,2022,1276.592323,,
174,A,FR,TXG_FOB_USD,MO,6,P1Y,2020,240.067656,2021,444.129211,2022,461.766319,,
175,A,FR,TXG_FOB_USD,AT,6,P1Y,2020,4218.320666,2021,5391.280699,2022,5679.938239,,
176,A,FR,TXG_FOB_USD,PF,6,P1Y,2020,666.331801,2021,733.451471,2022,698.42787,,
177,A,FR,TXG_FOB_USD,SG,6,P1Y,2020,8062.630435,2021,8613.612578,2022,9319.408206,,
178,A,FR,TXG_FOB_USD,EC,6,P1Y,2020,124.496424,2021,149.50668,2022,158.056125,,
179,A,FR,TXG_FOB_USD,X88,6,P1Y,2020,131.256877,2021,160.37885,2022,113.543344,,
180,A,FR,TXG_FOB_USD,KW,6,P1Y,2020,1207.044671,2021,1378.208274,2022,961.766567,,
181,A,FR,TXG_FOB_USD,FI,6,P1Y,2020,1933.122836,2021,2101.879017,2022,1916.235623,,
182,A,FR,TXG_FOB_USD,CY,6,P1Y,2020,242.834881,2021,267.935953,2022,277.665887,,
183,A,FR,TXG_FOB_USD,QA,6,P1Y,2020,2562.93358,2021,2179.830748,2022,914.986489,,
184,A,FR,TXG_FOB_USD,JM,6,P1Y,2020,42.995799,2021,27.127995,2022,26.816072,,
185,A,FR,TXG_FOB_USD,ST,6,P1Y,2020,3.065273,2021,1.624957,2022,1.127195,,
186,A,FR,TXG_FOB_USD,WS,6,P1Y,2020,0.19888,2021,3.744773,2022,2.030715,,
187,A,FR,TXG_FOB_USD,YE,6,P1Y,2020,139.379933,2021,132.641097,2022,246.698149,,
188,A,FR,TXG_FOB_USD,F1,6,P1Y,2020,23102.426526,2021,25459.126771,2022,26407.571909,,
189,A,FR,TXG_FOB_USD,KP,6,P1Y,,,,,,,,
190,A,FR,TXG_FOB_USD,CG,6,P1Y,2020,292.208421,2021,297.45431,2022,338.70513,,
191,A,FR,TXG_FOB_USD,CSH,6,P1Y,,,,,,,,
192,A,FR,TXG_FOB_USD,1C_459,6,P1Y,,,,,,,,
193,A,FR,TXG_FOB_USD,GR,6,P1Y,2020,2818.515985,2021,3194.91257,2022,3918.040083,,
194,A,FR,TXG_FOB_USD,BD,6,P1Y,2020,273.380521,2021,225.039612,2022,251.432648,,
195,A,FR,TXG_FOB_USD,UG,6,P1Y,2020,150.544278,2021,129.049693,2022,61.021646,,
196,A,FR,TXG_FOB_USD,AF,6,P1Y,2020,21.523526,2021,29.167368,2022,29.228876,,
197,A,FR,TXG_FOB_USD,ZW,6,P1Y,2020,24.091284,2021,28.179402,2022,20.350355,,
198,A,FR,TXG_FOB_USD,NP,6,P1Y,2020,12.90917,2021,23.531051,2022,36.398791,,
199,A,FR,TXG_FOB_USD,AN,6,P1Y,,,,,,,,
200,A,FR,TXG_FOB_USD,RO,6,P1Y,2020,4397.503434,2021,5034.799501,2022,5247.428693,,
201,A,FR,TXG_FOB_USD,MT,6,P1Y,2020,420.987096,2021,513.277103,2022,691.99333,,
202,A,FR,TXG_FOB_USD,MX,6,P1Y,2020,2996.259801,2021,3954.142043,2022,3772.722451,,
203,A,FR,TXG_FOB_USD,CL,6,P1Y,2020,871.36927,2021,1441.205549,2022,1379.538018,,
204,A,FR,TXG_FOB_USD,RU,6,P1Y,2020,5893.652636,2021,7596.463801,2022,3304.689513,,
205,A,FR,TXG_FOB_USD,KH,6,P1Y,2020,131.654514,2021,257.592901,2022,131.623821,,
206,A,FR,TXG_FOB_USD,MA,6,P1Y,2020,4708.209571,2021,5490.843135,2022,6649.372195,,
207,A,FR,TXG_FOB_USD,BW,6,P1Y,2020,47.6664,2021,69.640406,2022,6.214595,,
208,A,FR,TXG_FOB_USD,IT,6,P1Y,2020,37276.862996,2021,46699.228381,2022,56580.636236,,
209,A,FR,TXG_FOB_USD,BH,6,P1Y,2020,143.491426,2021,134.429462,2022,196.333893,,
210,A,FR,TXG_FOB_USD,BE,6,P1Y,2020,36218.106821,2021,44763.394859,2022,48727.344041,,
211,A,FR,TXG_FOB_USD,TR,6,P1Y,2020,7277.647186,2021,8763.870291,2022,9713.890635,,
212,A,FR,TXG_FOB_USD,NE,6,P1Y,2020,136.12795,2021,128.797898,2022,116.213048,,
213,A,FR,TXG_FOB_USD,1C_903,6,P1Y,2020,36972.475268,2021,45752.729043,2022,42803.743017,,
214,A,FR,TXG_FOB_USD,BZ,6,P1Y,2020,0.678198,2021,3.368804,2022,5.286133,,
215,A,FR,TXG_FOB_USD,MV,6,P1Y,2020,13.270246,2021,26.690028,2022,73.706106,,
216,A,FR,TXG_FOB_USD,JO,6,P1Y,2020,206.065706,2021,258.086252,2022,340.907728,,
217,A,FR,TXG_FOB_USD,R14,6,P1Y,2020,8751.916299,2021,10624.687602,2022,6261.565323,,
218,A,FR,TXG_FOB_USD,ZA,6,P1Y,2020,1519.996463,2021,1888.851225,2022,1889.168962,,
219,A,FR,TXG_FOB_USD,FK,6,P1Y,,,,,,,2022,0.025115
220,A,FR,TXG_FOB_USD,GQ,6,P1Y,2020,25.214312,2021,20.695113,2022,23.318623,,
221,A,FR,TXG_FOB_USD,BA,6,P1Y,2020,77.767696,2021,94.437684,2022,122.855663,,
222,A,FR,TXG_FOB_USD,CU,6,P1Y,2020,131.256877,2021,160.37885,2022,113.543344,,
223,A,FR,TXG_FOB_USD,SK,6,P1Y,2020,3072.550114,2021,3542.046516,2022,3421.943787,,
224,A,FR,TXG_FOB_USD,GA,6,P1Y,2020,455.619506,2021,475.649445,2022,554.885418,,
225,A,FR,TXG_FOB_USD,KM,6,P1Y,2020,43.394085,2021,55.402728,2022,28.010519,,
226,A,FR,TXG_FOB_USD,F979,6,P1Y,,,,,,,,
227,A,FR,TXG_FOB_USD,AM,6,P1Y,2020,54.691041,2021,58.183106,2022,82.856907,,
228,A,FR,TXG_FOB_USD,SO,6,P1Y,2020,14.448829,2021,13.245352,2022,16.263324,,
229,A,FR,TXG_FOB_USD,KR,6,P1Y,2020,5510.786929,2021,5671.590941,2022,6166.583328,,
230,A,FR,TXG_FOB_USD,PW,6,P1Y,2020,0.058391,2021,2.981086,2022,0.012894,,
231,A,FR,TXG_FOB_USD,TL,6,P1Y,2020,0.55471,2021,0.200574,2022,0.990596,,
232,A,FR,TXG_FOB_USD,SX,6,P1Y,2020,24.916534,2021,35.278693,2022,38.223845,,
233,A,FR,TXG_FOB_USD,CW,6,P1Y,2020,12.268367,2021,10.862113,2022,13.355792,,
234,A,FR,TXG_FOB_USD,FM,6,P1Y,2020,0.007766,2021,0.21751,2022,0.043137,,
235,A,FR,TXG_FOB_USD,MS,6,P1Y,2020,0.11638,2021,0.053003,2022,0.061204,,
236,A,FR,TXG_FOB_USD,VA,6,P1Y,2020,0.295778,2021,0.362305,2022,0.357844,,
237,A,FR,TXG_FOB_USD,SS,6,P1Y,2020,8.874354,2021,1.639615,2022,3.540517,,
238,A,FR,TXG_FOB_USD,U2,6,P1Y,2020,226102.592769,2021,276225.398116,2022,299419.028186,,
239,A,FR,TXG_FOB_USD,MH,6,P1Y,2020,16.018491,2021,12.46926,2022,30.022836,,
240,A,FR,TXG_FOB_USD,AI,6,P1Y,2020,1.031633,2021,1.587988,2022,0.279326,,
241,A,FR,TXG_FOB_USD,SM,6,P1Y,2020,26.766127,2021,33.497651,2022,29.989939,,
242,A,FR,TXG_FOB_USD,XS5,6,P1Y,2020,30454.132279,2021,32613.237555,2022,33514.666971,,
