,@FREQ,@REF_AREA,@INDICATOR,@COUNTERPART_AREA,@UNIT_MULT,@TIME_FORMAT,Obs_0_@TIME_PERIOD,Obs_0_@OBS_VALUE,Obs_1_@TIME_PERIOD,Obs_1_@OBS_VALUE
166,A,US,TXG_FOB_USD,VN,6,P1Y,2020,9989.358121,2021,11010.738443
167,A,US,TXG_FOB_USD,KE,6,P1Y,2020,370.786703,2021,561.643079
168,A,US,TXG_FOB_USD,BN,6,P1Y,2020,119.022268,2021,100.386814
169,A,US,TXG_FOB_USD,GW,6,P1Y,2020,3.67009,2021,3.332532
170,A,US,TXG_FOB_USD,MN,6,P1Y,2020,118.901562,2021,148.46111
171,A,US,TXG_FOB_USD,VU,6,P1Y,2020,7.014193,2021,4.447135
172,A,US,TXG_FOB_USD,KZ,6,P1Y,2020,509.092582,2021,807.810165
173,A,US,TXG_FOB_USD,AL,6,P1Y,2020,56.900545,2021,96.305576
174,A,US,TXG_FOB_USD,ER,6,P1Y,2020,18.679077,2021,26.735638
175,A,US,TXG_FOB_USD,MK,6,P1Y,2020,43.806969,2021,45.480757
176,A,US,TXG_FOB_USD,AG,6,P1Y,2020,312.378062,2021,570.485634
177,A,US,TXG_FOB_USD,SB,6,P1Y,2020,4.66755,2021,14.738919
178,A,US,TXG_FOB_USD,PH,6,P1Y,2020,7764.459606,2021,9290.213681
179,A,US,TXG_FOB_USD,SC,6,P1Y,2020,17.062461,2021,11.36509
180,A,US,TXG_FOB_USD,ML,6,P1Y,2020,99.265171,2021,98.589063
181,A,US,TXG_FOB_USD,MU,6,P1Y,2020,49.612969,2021,78.377331
182,A,US,TXG_FOB_USD,GU,6,P1Y,,,,
183,A,US,TXG_FOB_USD,MG,6,P1Y,2020,34.809236,2021,56.222773
184,A,US,TXG_FOB_USD,BD,6,P1Y,2020,1844.186696,2021,2350.514738
185,A,US,TXG_FOB_USD,EG,6,P1Y,2020,4759.077431,2021,5848.892795
186,A,US,TXG_FOB_USD,EC,6,P1Y,2020,4245.204246,2021,5009.317197
187,A,US,TXG_FOB_USD,PL,6,P1Y,2020,4965.098079,2021,5843.132013
188,A,US,TXG_FOB_USD,KW,6,P1Y,2020,2240.620612,2021,3037.952488
189,A,US,TXG_FOB_USD,PY,6,P1Y,2020,1274.329122,2021,2055.249943
190,A,US,TXG_FOB_USD,GE,6,P1Y,2020,436.093365,2021,656.548847
191,A,US,TXG_FOB_USD,TN,6,P1Y,2020,433.877827,2021,466.137575
192,A,US,TXG_FOB_USD,XK,6,P1Y,2020,33.247778,2021,31.348938
193,A,US,TXG_FOB_USD,BM,6,P1Y,2020,465.187715,2021,551.429609
194,A,US,TXG_FOB_USD,BO,6,P1Y,2020,450.802313,2021,552.209899
195,A,US,TXG_FOB_USD,TZ,6,P1Y,2020,245.762979,2021,282.567034
196,A,US,TXG_FOB_USD,IQ,6,P1Y,2020,771.884318,2021,802.684221
197,A,US,TXG_FOB_USD,SK,6,P1Y,2020,336.618644,2021,335.85682
198,A,US,TXG_FOB_USD,SN,6,P1Y,2020,280.137109,2021,382.001233
199,A,US,TXG_FOB_USD,CH,6,P1Y,2020,18084.609755,2021,23683.408458
200,A,US,TXG_FOB_USD,UY,6,P1Y,2020,1250.006923,2021,1798.599482
201,A,US,TXG_FOB_USD,LU,6,P1Y,2020,1353.107878,2021,1531.481671
202,A,US,TXG_FOB_USD,SI,6,P1Y,2020,307.881598,2021,242.584746
203,A,US,TXG_FOB_USD,IS,6,P1Y,2020,292.5029,2021,628.868305
204,A,US,TXG_FOB_USD,ZW,6,P1Y,2020,46.42894,2021,45.133799
205,A,US,TXG_FOB_USD,UZ,6,P1Y,2020,180.939681,2021,401.256276
206,A,US,TXG_FOB_USD,KH,6,P1Y,2020,343.625564,2021,415.555294
207,A,US,TXG_FOB_USD,W00,6,P1Y,2020,1431584.385159,2021,1754300.367662
208,A,US,TXG_FOB_USD,F97,6,P1Y,2020,41778.559563,2021,45276.062828
209,A,US,TXG_FOB_USD,1C_080,6,P1Y,2020,52881.948849,2021,59871.799416
210,A,US,TXG_FOB_USD,CF,6,P1Y,2020,22.329871,2021,17.370704
211,A,US,TXG_FOB_USD,RO,6,P1Y,2020,914.25436,2021,1411.715991
212,A,US,TXG_FOB_USD,TO,6,P1Y,2020,14.722076,2021,18.910714
213,A,US,TXG_FOB_USD,IR,6,P1Y,2020,36.291029,2021,39.328394
214,A,US,TXG_FOB_USD,GY,6,P1Y,2020,654.57152,2021,1012.353108
215,A,US,TXG_FOB_USD,MV,6,P1Y,2020,24.659947,2021,41.278269
216,A,US,TXG_FOB_USD,PG,6,P1Y,2020,62.493526,2021,44.114691
217,A,US,TXG_FOB_USD,CD,6,P1Y,2020,152.906389,2021,213.154081
218,A,US,TXG_FOB_USD,NZ,6,P1Y,2020,3196.579575,2021,3724.037744
219,A,US,TXG_FOB_USD,HR,6,P1Y,2020,317.992885,2021,751.25836
220,A,US,TXG_FOB_USD,RU,6,P1Y,2020,4883.765601,2021,6387.057963
221,A,US,TXG_FOB_USD,SD,6,P1Y,2020,71.709835,2021,153.141298
222,A,US,TXG_FOB_USD,PE,6,P1Y,2020,7685.809754,2021,10323.194684
223,A,US,TXG_FOB_USD,NO,6,P1Y,2020,2790.023035,2021,3956.305162
224,A,US,TXG_FOB_USD,TG,6,P1Y,2020,319.56405,2021,235.363882
225,A,US,TXG_FOB_USD,A10,6,P1Y,2020,342118.490745,2021,450394.221389
