,@FREQ,@REF_AREA,@INDICATOR,@COUNTERPART_AREA,@UNIT_MULT,@TIME_FORMAT,Obs_0_@TIME_PERIOD,Obs_0_@OBS_VALUE,Obs_1_@TIME_PERIOD,Obs_1_@OBS_VALUE,Obs_2_@TIME_PERIOD,Obs_2_@OBS_VALUE,Obs_3_@TIME_PERIOD,Obs_3_@OBS_VALUE,Obs_4_@TIME_PERIOD,Obs_4_@OBS_VALUE,Obs_5_@TIME_PERIOD,Obs_5_@OBS_VALUE,Obs_6_@TIME_PERIOD,Obs_6_@OBS_VALUE,Obs_7_@TIME_PERIOD,Obs_7_@OBS_VALUE,Obs_8_@TIME_PERIOD,Obs_8_@OBS_VALUE,Obs_9_@TIME_PERIOD,Obs_9_@OBS_VALUE,Obs_10_@TIME_PERIOD,Obs_10_@OBS_VALUE,Obs_11_@TIME_PERIOD,Obs_11_@OBS_VALUE,Obs_12_@TIME_PERIOD,Obs_12_@OBS_VALUE,Obs_13_@TIME_PERIOD,Obs_13_@OBS_VALUE,Obs_14_@TIME_PERIOD,Obs_14_@OBS_VALUE,Obs_15_@TIME_PERIOD,Obs_15_@OBS_VALUE,Obs_16_@TIME_PERIOD,Obs_16_@OBS_VALUE,Obs_17_@TIME_PERIOD,Obs_17_@OBS_VALUE,Obs_18_@TIME_PERIOD,Obs_18_@OBS_VALUE,Obs_19_@TIME_PERIOD,Obs_19_@OBS_VALUE,Obs_20_@TIME_PERIOD,Obs_20_@OBS_VALUE,Obs_21_@TIME_PERIOD,Obs_21_@OBS_VALUE,Obs_22_@TIME_PERIOD,Obs_22_@OBS_VALUE,Obs_23_@TIME_PERIOD,Obs_23_@OBS_VALUE
20,M,CL,TXG_FOB_USD,W00,6,P1M,2021-01,7177.343029,2021-02,7294.454294,2021-03,7760.522434,2021-04,8160.164818,2021-05,7620.755308,2021-06,7452.819866,2021-07,7942.937389,2021-08,7821.800937,2021-09,7428.802616,2021-10,7767.756514,2021-11,8413.956049,2021-12,9036.711459,2022-01,8562.174464,2022-02,7301.397759,2022-03,8672.600934,2022-04,8026.584486,2022-05,8897.702434,2022-06,8330.295707,2022-07,7946.688801,2022-08,7877.598757,2022-09,7569.077534,2022-10,7597.805356,2022-11,7812.810264,2022-12,8894.359477
21,M,FR,TXG_FOB_USD,W00,6,P1M,2021-01,43439.818294,2021-02,45169.169364,2021-03,52551.124341,2021-04,49435.675319,2021-05,45798.942601,2021-06,53889.765147,2021-07,48179.499634,2021-08,40961.210653,2021-09,50405.682647,2021-10,51809.153797,2021-11,51701.459707,2021-12,51679.352657,2022-01,50670.268781,2022-02,50594.881865,2022-03,56309.207671,2022-04,49835.430022,2022-05,51580.786804,2022-06,54873.7917,2022-07,47694.013765,2022-08,44324.212628,2022-09,52903.06163,2022-10,51462.508679,2022-11,53324.863955,2022-12,54579.657611
22,M,LC,TXG_FOB_USD,W00,6,P1M,2021-01,3.902426,2021-02,4.422748,2021-03,6.227693,2021-04,5.60717,2021-05,4.833089,2021-06,7.103196,2021-07,24.534908,2021-08,6.88888,2021-09,6.325225,2021-10,12.066248,2021-11,6.547755,2021-12,7.21516,2022-01,6.465866,2022-02,5.907106,2022-03,5.892695,2022-04,6.728061,2022-05,7.245592,2022-06,6.172403,2022-07,6.316282,2022-08,5.961206,2022-09,7.201886,2022-10,6.002484,2022-11,9.343023,2022-12,6.128174
23,M,X88,TXG_FOB_USD,W00,6,P1M,2021-01,101.264708,2021-02,89.221828,2021-03,119.899106,2021-04,85.685231,2021-05,107.112883,2021-06,180.579326,2021-07,96.316891,2021-08,125.222662,2021-09,110.881057,2021-10,146.736913,2021-11,128.578038,2021-12,120.376906,2022-01,153.548103,2022-02,100.244424,2022-03,119.809709,2022-04,143.894548,2022-05,130.965588,2022-06,143.256127,2022-07,129.551734,2022-08,133.142587,2022-09,137.780502,2022-10,139.923702,2022-11,117.364846,2022-12,116.868152
24,M,KP,TXG_FOB_USD,W00,6,P1M,2021-01,9.062304,2021-02,8.653044,2021-03,14.13561,2021-04,9.488431,2021-05,15.177593,2021-06,10.757449,2021-07,14.312242,2021-08,13.921712,2021-09,24.41189,2021-10,21.428196,2021-11,34.688099,2021-12,40.007766,2022-01,25.063818,2022-02,10.13573,2022-03,13.317252,2022-04,13.484421,2022-05,17.585522,2022-06,13.279509,2022-07,21.933213,2022-08,27.501296,2022-09,24.557095,2022-10,29.82664,2022-11,23.240212,2022-12,28.805279
25,M,TJ,TXG_FOB_USD,W00,6,P1M,2021-01,47.584236,2021-02,72.293302,2021-03,78.055692,2021-04,439.453787,2021-05,91.349483,2021-06,96.827423,2021-07,60.043668,2021-08,113.079452,2021-09,122.044384,2021-10,107.708964,2021-11,116.536779,2021-12,128.794031,2022-01,80.018648,2022-02,96.04486,2022-03,106.133296,2022-04,145.321197,2022-05,231.166502,2022-06,499.793928,2022-07,66.819614,2022-08,56.973368,2022-09,78.228047,2022-10,76.845856,2022-11,53.306713,2022-12,86.455868
26,M,NZ,TXG_FOB_USD,W00,6,P1M,2021-01,2170.32444,2021-02,2346.014711,2021-03,2897.250719,2021-04,2722.959461,2021-05,3057.653364,2021-06,4232.967955,2021-07,4016.798814,2021-08,3031.03139,2021-09,3100.744665,2021-10,3763.795909,2021-11,4117.408431,2021-12,4117.183523,2022-01,3238.546446,2022-02,3461.284949,2022-03,4577.136634,2022-04,4179.06018,2022-05,4358.408148,2022-06,3954.892892,2022-07,3929.659047,2022-08,3309.379179,2022-09,3518.019986,2022-10,3489.675027,2022-11,4037.991088,2022-12,4265.694893
27,M,CF,TXG_FOB_USD,W00,6,P1M,2021-01,2.488046,2021-02,1.639531,2021-03,2.706379,2021-04,8.349727,2021-05,2.966737,2021-06,3.051429,2021-07,2.321488,2021-08,3.389561,2021-09,3.187112,2021-10,5.040716,2021-11,3.315828,2021-12,7.831505,2022-01,1.42449,2022-02,5.269827,2022-03,5.562542,2022-04,2.722459,2022-05,3.600634,2022-06,3.470444,2022-07,2.373427,2022-08,5.297253,2022-09,6.97383,2022-10,2.77249,2022-11,5.001245,2022-12,3.07799
28,M,GN,TXG_FOB_USD,W00,6,P1M,2021-01,380.75191,2021-02,336.600031,2021-03,396.106388,2021-04,371.85344,2021-05,276.886903,2021-06,325.631321,2021-07,472.057972,2021-08,496.573288,2021-09,306.048908,2021-10,580.300669,2021-11,567.675048,2021-12,665.872752,2022-01,566.568586,2022-02,631.724235,2022-03,295.18014,2022-04,425.113822,2022-05,582.595599,2022-06,573.151724,2022-07,399.916016,2022-08,398.674268,2022-09,349.826214,2022-10,351.937994,2022-11,344.147248,2022-12,290.141953
29,M,NG,TXG_FOB_USD,W00,6,P1M,2021-01,3516.509158,2021-02,3882.968806,2021-03,4188.015485,2021-04,4612.374574,2021-05,3928.015905,2021-06,4021.335569,2021-07,5449.331822,2021-08,4250.125635,2021-09,5784.609341,2021-10,4666.049982,2021-11,5505.947558,2021-12,5933.442339,2022-01,4752.591954,2022-02,5113.330598,2022-03,7096.151169,2022-04,5498.789925,2022-05,6464.743724,2022-06,6447.032633,2022-07,4921.07778,2022-08,5390.543921,2022-09,4455.399397,2022-10,4819.993249,2022-11,3869.363122,2022-12,4433.462468
