date,GDP,reporter
2019-01-01,33600177295748.1,IDA & IBRD total
2020-01-01,32404400348760.8,IDA & IBRD total
2021-01-01,38062847856443.9,IDA & IBRD total
2019-01-01,2348783962878.72,IDA total
2020-01-01,2335046416001.58,IDA total
2021-01-01,2549112031362.93,IDA total
2019-01-01,1042643234199.04,IDA blend
2020-01-01,1002074719263.99,IDA blend
2021-01-01,1096478315864.49,IDA blend
2019-01-01,1119099868265.25,Indonesia
2020-01-01,1058688935454.78,Indonesia
2021-01-01,1186092991320.04,Indonesia
2019-01-01,1308461393704.39,IDA only
2020-01-01,1336381367316.97,IDA only
2021-01-01,1456252171238.16,IDA only
2019-01-01,7315388052.08067,Isle of Man
2019-01-01,2831552222519.99,India
2020-01-01,2667687951796.5,India
2021-01-01,3176295065497.24,India
2019-01-01,399321701632.431,Ireland
2020-01-01,425852281928.121,Ireland
2021-01-01,504182603275.542,Ireland
2019-01-01,283746685180.338,"Iran, Islamic Rep."
2020-01-01,239735571102.495,"Iran, Islamic Rep."
2021-01-01,359713152725.063,"Iran, Islamic Rep."
2019-01-01,233636097800.338,Iraq
2020-01-01,184369797315.436,Iraq
2021-01-01,207889333724.138,Iraq
2019-01-01,24826102119.6357,Iceland
2020-01-01,21694674809.9321,Iceland
2021-01-01,25602419210.3374,Iceland
2019-01-01,402470513619.148,Israel
2020-01-01,413267669231.522,Israel
2021-01-01,488526545878.891,Israel
2019-01-01,2011302198827.45,Italy
2020-01-01,1896755301518.14,Italy
2021-01-01,2107702842669.73,Italy
2019-01-01,15830768549.8916,Jamaica
2020-01-01,13812425036.5864,Jamaica
2021-01-01,14657586937.0735,Jamaica
2019-01-01,44993992365.1297,Jordan
2020-01-01,44182298291.8206,Jordan
2021-01-01,45744271658.9141,Jordan
2019-01-01,5123318151510.62,Japan
2020-01-01,5040107754084.11,Japan
2021-01-01,4940877780755.33,Japan
2019-01-01,181667190075.541,Kazakhstan
2020-01-01,171082379532.988,Kazakhstan
2021-01-01,197112255360.612,Kazakhstan
2019-01-01,100379713697.421,Kenya
2020-01-01,100666542665.72,Kenya
2021-01-01,110347079517.356,Kenya
2019-01-01,8871026074.19762,Kyrgyz Republic
2020-01-01,7780874536.66054,Kyrgyz Republic
2021-01-01,8543423502.6134,Kyrgyz Republic
2019-01-01,27089389786.979,Cambodia
2020-01-01,25872798012.1938,Cambodia
2021-01-01,26961061119.7957,Cambodia
2019-01-01,177935349.322211,Kiribati
2020-01-01,180911843.644622,Kiribati
2021-01-01,207031250,Kiribati
2019-01-01,1107840740.74074,St. Kitts and Nevis
2020-01-01,884525925.925926,St. Kitts and Nevis
2021-01-01,860840740.740741,St. Kitts and Nevis
