Date,beta
2017-09-12T00:00:00Z,0.006369635
2017-09-13T00:00:00Z,0.006374565
2017-09-14T00:00:00Z,0.006379496
2017-09-15T00:00:00Z,0.006384426
2017-09-16T00:00:00Z,0.006389357
2017-09-17T00:00:00Z,0.006394287
2017-09-18T00:00:00Z,0.006399218
2017-09-19T00:00:00Z,0.006404148
2017-09-20T00:00:00Z,0.006409078
2017-09-21T00:00:00Z,0.006414009
2017-09-22T00:00:00Z,0.006418939
2017-09-23T00:00:00Z,0.00642387
2017-09-24T00:00:00Z,0.0064288
2017-09-25T00:00:00Z,0.006433731
2017-09-26T00:00:00Z,0.006438661
2017-09-27T00:00:00Z,0.006443592
2017-09-28T00:00:00Z,0.006448522
2017-09-29T00:00:00Z,0.006453452
2017-09-30T00:00:00Z,0.006458383
2017-10-01T00:00:00Z,0.006463313
2017-10-02T00:00:00Z,0.006468244
2017-10-03T00:00:00Z,0.006473174
2017-10-04T00:00:00Z,0.006478105
2017-10-05T00:00:00Z,0.006483035
2017-10-06T00:00:00Z,0.006487966
2017-10-07T00:00:00Z,0.006492896
2017-10-08T00:00:00Z,0.006497827
2017-10-09T00:00:00Z,0.006502757
2017-10-10T00:00:00Z,0.006507687
2017-10-11T00:00:00Z,0.006512618
2017-10-12T00:00:00Z,0.006517548
2017-10-13T00:00:00Z,0.006522479
2017-10-14T00:00:00Z,0.006527409
2017-10-15T00:00:00Z,0.00653234
2017-10-16T00:00:00Z,0.00653727
2017-10-17T00:00:00Z,0.006542201
2017-10-18T00:00:00Z,0.006547131
2017-10-19T00:00:00Z,0.006552061
2017-10-20T00:00:00Z,0.006556992
2017-10-21T00:00:00Z,0.006561922
2017-10-22T00:00:00Z,0.006566853
2017-10-23T00:00:00Z,0.006571783
2017-10-24T00:00:00Z,0.006576714
2017-10-25T00:00:00Z,0.006581644
2017-10-26T00:00:00Z,0.006586575
2017-10-27T00:00:00Z,0.006591505
2017-10-28T00:00:00Z,0.006596435
2017-10-29T00:00:00Z,0.006601366
2017-10-30T00:00:00Z,0.006606296
2017-10-31T00:00:00Z,0.006611227
2017-11-01T00:00:00Z,0.006616157
2017-11-02T00:00:00Z,0.006621088
2017-11-03T00:00:00Z,0.006626018
2017-11-04T00:00:00Z,0.006630949
2017-11-05T00:00:00Z,0.006635879
2017-11-06T00:00:00Z,0.006640809
2017-11-07T00:00:00Z,0.00664574
2017-11-08T00:00:00Z,0.00665067
2017-11-09T00:00:00Z,0.006655601
2017-11-10T00:00:00Z,0.006660531
2017-11-11T00:00:00Z,0.006665462
2017-11-12T00:00:00Z,0.006670392
2017-11-13T00:00:00Z,0.006675323
2017-11-14T00:00:00Z,0.006680253
2017-11-15T00:00:00Z,0.006685184
2017-11-16T00:00:00Z,0.006690114
2017-11-17T00:00:00Z,0.006695044
2017-11-18T00:00:00Z,0.006699975
2017-11-19T00:00:00Z,0.006704905
2017-11-20T00:00:00Z,0.006709836
2017-11-21T00:00:00Z,0.006714766
2017-11-22T00:00:00Z,0.006719697
2017-11-23T00:00:00Z,0.006724627
2017-11-24T00:00:00Z,0.006729558
2017-11-25T00:00:00Z,0.006734488
2017-11-26T00:00:00Z,0.006739418
2017-11-27T00:00:00Z,0.006744349
2017-11-28T00:00:00Z,0.006749279
2017-11-29T00:00:00Z,0.00675421
