,@FREQ,@REF_AREA,@INDICATOR,@COUNTERPART_AREA,@UNIT_MULT,@TIME_FORMAT,Obs_0_@TIME_PERIOD,Obs_0_@OBS_VALUE,Obs_1_@TIME_PERIOD,Obs_1_@OBS_VALUE,Obs_2_@TIME_PERIOD,Obs_2_@OBS_VALUE,Obs_3_@TIME_PERIOD,Obs_3_@OBS_VALUE,Obs_4_@TIME_PERIOD,Obs_4_@OBS_VALUE,Obs_5_@TIME_PERIOD,Obs_5_@OBS_VALUE,Obs_6_@TIME_PERIOD,Obs_6_@OBS_VALUE,Obs_7_@TIME_PERIOD,Obs_7_@OBS_VALUE,Obs_8_@TIME_PERIOD,Obs_8_@OBS_VALUE,Obs_9_@TIME_PERIOD,Obs_9_@OBS_VALUE,Obs_10_@TIME_PERIOD,Obs_10_@OBS_VALUE
27,M,CF,TXG_FOB_USD,W00,6,P1M,2022-01,2.092358,2022-02,3.389356,2022-03,3.659519,2022-04,2.226299,2022-05,2.930816,2022-06,3.005552,2022-07,3.079188,2022-08,3.373674,2022-09,9.815818,2022-10,3.378306,2022-11,6.323126
28,M,GN,TXG_FOB_USD,W00,6,P1M,2022-01,2281.522604,2022-02,2736.528018,2022-03,679.235505,2022-04,1524.204381,2022-05,2286.868208,2022-06,2375.359101,2022-07,1435.421078,2022-08,1174.353458,2022-09,1073.595145,2022-10,1228.890847,2022-11,770.592388
29,M,NG,TXG_FOB_USD,W00,6,P1M,2022-01,4895.439144,2022-02,5166.842421,2022-03,7392.234289,2022-04,5535.349962,2022-05,6746.6135,2022-06,6258.065827,2022-07,4785.131931,2022-08,5346.463235,2022-09,4445.953965,2022-10,4951.042729,2022-11,2837.227338
30,M,BM,TXG_FOB_USD,W00,6,P1M,2022-01,3.012541,2022-02,4.233639,2022-03,4.825182,2022-04,4.120616,2022-05,4.532947,2022-06,6.915887,2022-07,5.778897,2022-08,4.957229,2022-09,4.503503,2022-10,5.146679,2022-11,4.728076
31,M,KZ,TXG_FOB_USD,W00,6,P1M,2022-01,5869.405988,2022-02,5839.576373,2022-03,6671.009329,2022-04,7083.238332,2022-05,7345.543976,2022-06,7647.700286,2022-07,6398.009831,2022-08,7047.705501,2022-09,7112.885603,2022-10,11612.313532,2022-11,10800.905293
32,M,VC,TXG_FOB_USD,W00,6,P1M,2022-01,1.209394,2022-02,1.970514,2022-03,42.179371,2022-04,3.693765,2022-05,6.367663,2022-06,1.100287,2022-07,2.925011,2022-08,2.11703,2022-09,3.020231,2022-10,1.505965,2022-11,0.40979
33,M,AF,TXG_FOB_USD,W00,6,P1M,2022-01,50.416681,2022-02,46.511878,2022-03,59.959564,2022-04,72.651764,2022-05,31.820478,2022-06,45.94608,2022-07,30.256691,2022-08,45.361302,2022-09,69.524809,2022-10,64.864749,2022-11,65.636075
34,M,DO,TXG_FOB_USD,W00,6,P1M,2022-01,872.998833,2022-02,987.898163,2022-03,1307.302666,2022-04,1088.196062,2022-05,1194.776229,2022-06,1123.035114,2022-07,1140.276861,2022-08,1279.215645,2022-09,1118.931324,2022-10,1095.546306,2022-11,1132.911163
35,M,ST,TXG_FOB_USD,W00,6,P1M,2022-01,2.827404,2022-02,1.007583,2022-03,1.07154,2022-04,0.473746,2022-05,2.338762,2022-06,2.253549,2022-07,2.754011,2022-08,2.282126,2022-09,0.827226,2022-10,1.187726,2022-11,2.441128
36,M,TD,TXG_FOB_USD,W00,6,P1M,2022-01,234.855977,2022-02,181.192828,2022-03,282.032865,2022-04,205.034018,2022-05,442.314823,2022-06,356.095712,2022-07,556.583383,2022-08,530.671438,2022-09,463.743685,2022-10,274.335181,2022-11,184.126131
