date,reporter,partner,value,code,desc
2020-09-01,USA,Peru,17172,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-09-01,USA,Portugal,13603,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-09-01,USA,India,652657,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-09-01,USA,Viet Nam,41294,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-09-01,USA,Türkiye,8554064,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-09-01,USA,Egypt,17796,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-09-01,USA,United Kingdom,16148,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-10-01,USA,World,10731593,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-10-01,USA,Argentina,20710,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-10-01,USA,Belgium,15141,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-10-01,USA,Canada,194019,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-10-01,USA,China,239071,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-10-01,USA,Dominican Rep.,2124,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-10-01,USA,France,6974,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-10-01,USA,Indonesia,16453,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-10-01,USA,Italy,12141,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-10-01,USA,Mexico,119856,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-10-01,USA,Pakistan,4800,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-10-01,USA,India,2336378,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-10-01,USA,Viet Nam,19488,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-10-01,USA,Spain,158568,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-10-01,USA,Türkiye,7572270,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-10-01,USA,Egypt,13600,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-11-01,USA,World,12515134,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-11-01,USA,Belgium,154676,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-11-01,USA,Canada,240884,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-11-01,USA,China,370667,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-11-01,USA,France,17579,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-11-01,USA,Italy,14065,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-11-01,USA,Mexico,116080,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-11-01,USA,Netherlands,21959,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-11-01,USA,Pakistan,3000,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-11-01,USA,Portugal,10918,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-11-01,USA,India,3815633,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-11-01,USA,Viet Nam,74740,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-11-01,USA,Türkiye,7674933,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-12-01,USA,World,10168742,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-12-01,USA,Belgium,114157,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-12-01,USA,Canada,210523,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-12-01,USA,China,324739,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-12-01,USA,Denmark,64050,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-12-01,USA,France,74792,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-12-01,USA,Italy,19380,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-12-01,USA,Mexico,71481,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-12-01,USA,Pakistan,10000,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-12-01,USA,Peru,56536,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-12-01,USA,India,660229,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-12-01,USA,Viet Nam,74817,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-12-01,USA,Spain,58920,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-12-01,USA,Türkiye,8429118,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
